# Matter power spectrum P(k) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.066659883294e-05       4.580532046634e+01 
       1.342845232821e-05       5.713672978944e+01 
       1.690541987705e-05       7.127124507989e+01 
       2.128266268027e-05       8.890225512272e+01 
       2.679328487883e-05       1.108945798597e+02 
       3.373074719940e-05       1.383268215625e+02 
       4.246449480813e-05       1.725441189073e+02 
       5.345963161295e-05       2.152237991302e+02 
       6.730168874270e-05       2.684569549101e+02 
       8.472780621485e-05       3.348496919051e+02 
       1.066659883294e-04       4.176483098020e+02 
       1.342845232821e-04       5.208933078981e+02 
       1.690541987705e-04       6.496073642717e+02 
       2.128266268027e-04       8.100218476109e+02 
       2.679328487883e-04       1.009844348971e+03 
       3.373074719940e-04       1.258564699866e+03 
       4.246449480813e-04       1.567787559312e+03 
       5.345963161295e-04       1.951564426606e+03 
       6.730168874270e-04       2.426676512537e+03 
       8.472780621485e-04       3.012789940960e+03 
       1.066659883294e-03       3.732353733255e+03 
       1.342845232821e-03       4.610008804787e+03 
       1.690541987705e-03       5.671255221652e+03 
       2.128266268027e-03       6.940629268293e+03 
       2.679328487883e-03       8.437725546038e+03 
       3.373074719940e-03       1.017158710163e+04 
       4.246449480813e-03       1.213247357918e+04 
       5.345963161295e-03       1.428141354588e+04 
       6.730168874270e-03       1.653705779564e+04 
       8.472780621485e-03       1.876143907379e+04 
       1.066659883294e-02       2.074868527530e+04 
       1.342845232821e-02       2.220667286147e+04 
       1.690541987702e-02       2.277796496499e+04 
       2.128266253410e-02       2.210315145113e+04 
       2.679316930374e-02       2.000627327153e+04 
       3.371424783257e-02       1.679462232223e+04 
       4.189996001276e-02       1.356147998530e+04 
       4.886261356773e-02       1.170300798831e+04 
       5.390154912222e-02       1.080449619190e+04 
       5.804700157388e-02       1.025546022947e+04 
       6.174364667372e-02       9.848565308473e+03 
       6.518887619799e-02       9.497369795317e+03 
       6.848681793437e-02       9.157908833368e+03 
       7.169975834612e-02       8.806573555062e+03 
       7.486853755750e-02       8.431457472155e+03 
       7.802189721154e-02       8.029092104214e+03 
       8.118125546523e-02       7.602295384406e+03 
       8.436335601443e-02       7.158768384595e+03 
       8.758183571814e-02       6.709553267319e+03 
       9.084820148987e-02       6.267526502950e+03 
       9.417246524382e-02       5.845901488071e+03 
       9.756357115125e-02       5.456684175558e+03 
       1.010296915047e-01       5.109427102868e+03 
       1.045784364873e-01       4.810216100362e+03 
       1.082170057681e-01       4.561038117873e+03 
       1.119522997119e-01       4.359593163069e+03 
       1.157910018733e-01       4.199234292953e+03 
       1.197396406518e-01       4.069417151884e+03 
       1.238046355627e-01       3.956585901536e+03 
       1.279923320179e-01       3.845557778887e+03 
       1.323090274757e-01       3.721913048226e+03 
       1.367609911353e-01       3.574635113111e+03 
       1.413544788970e-01       3.398707339588e+03 
       1.460957450055e-01       3.196615862986e+03 
       1.509910515930e-01       2.978078621461e+03 
       1.560466772115e-01       2.757859744203e+03 
       1.612689253600e-01       2.552051917523e+03 
       1.666641339599e-01       2.374061709094e+03 
       1.722386867019e-01       2.231280937326e+03 
       1.779990271650e-01       2.123192032433e+03 
       1.839516765962e-01       2.041535379595e+03 
       1.901032562290e-01       1.973162769526e+03 
       1.964605150159e-01       1.901206674629e+03 
       2.030303636515e-01       1.812910725165e+03 
       2.098199157769e-01       1.704708318063e+03 
       2.168365372891e-01       1.583121689397e+03 
       2.240879047385e-01       1.461428278983e+03 
       2.315820738941e-01       1.353353264733e+03 
       2.393275597113e-01       1.267068899678e+03 
       2.473334291509e-01       1.201987829513e+03 
       2.556094086166e-01       1.149401818986e+03 
       2.641660081971e-01       1.096937396668e+03 
       2.730146654810e-01       1.035468805370e+03 
       2.821679124751e-01       9.646334246938e+02 
       2.916395701736e-01       8.924465980198e+02 
       3.014449766709e-01       8.287710135440e+02 
       3.116012564853e-01       7.779432071989e+02 
       3.221276411317e-01       7.362701659048e+02 
       3.330458541616e-01       6.958292610913e+02 
       3.443805781970e-01       6.513395346874e+02 
       3.561600273992e-01       6.043716201098e+02 
       3.684166570344e-01       5.607765822193e+02 
       3.811880533895e-01       5.239728279095e+02 
       3.945180639040e-01       4.915748376414e+02 
       4.084582515891e-01       4.591045965101e+02 
       4.230697937439e-01       4.256347024389e+02 
       4.384259994145e-01       3.939209685893e+02 
       4.546157043455e-01       3.657442742495e+02 
       4.717479359469e-01       3.394800732926e+02 
       4.899584588925e-01       3.131423050072e+02 
