# Matter power spectrum P(k) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.066659883294e-05       4.580199085344e+01 
       1.342845232821e-05       5.713257991254e+01 
       1.690541987705e-05       7.126607536772e+01 
       2.128266268027e-05       8.889581990088e+01 
       2.679328487883e-05       1.108865791466e+02 
       3.373074719940e-05       1.383168939381e+02 
       4.246449480813e-05       1.725318387874e+02 
       5.345963161295e-05       2.152086855157e+02 
       6.730168874270e-05       2.684385062707e+02 
       8.472780621485e-05       3.348274769136e+02 
       1.066659883294e-04       4.176221732931e+02 
       1.342845232821e-04       5.208638094741e+02 
       1.690541987705e-04       6.495766792191e+02 
       2.128266268027e-04       8.099955734563e+02 
       2.679328487883e-04       1.009835057469e+03 
       3.373074719940e-04       1.258598779166e+03 
       4.246449480813e-04       1.567918052599e+03 
       5.345963161295e-04       1.951894216287e+03 
       6.730168874270e-04       2.427397734320e+03 
       8.472780621485e-04       3.014244604002e+03 
       1.066659883294e-03       3.735111821706e+03 
       1.342845232821e-03       4.614938787165e+03 
       1.690541987705e-03       5.679545619476e+03 
       2.128266268027e-03       6.953780448506e+03 
       2.679328487883e-03       8.457667140553e+03 
       3.373074719940e-03       1.020091516506e+04 
       4.246449480813e-03       1.217452485557e+04 
       5.345963161295e-03       1.433980540641e+04 
       6.730168874270e-03       1.661586414955e+04 
       8.472780621485e-03       1.886346698995e+04 
       1.066659883294e-02       2.087328609065e+04 
       1.342845232821e-02       2.235397888850e+04 
       1.690541987702e-02       2.294081142182e+04 
       2.128266253410e-02       2.227066995541e+04 
       2.679316930374e-02       2.016475037738e+04 
       3.371424783257e-02       1.693202029417e+04 
       4.189996001276e-02       1.367489342996e+04 
       4.886261356773e-02       1.180202463931e+04 
       5.390154912222e-02       1.089646580101e+04 
       5.804700157388e-02       1.034310337767e+04 
       6.174364667372e-02       9.932978952943e+03 
       6.518887619799e-02       9.578964890033e+03 
       6.848681793437e-02       9.236741059343e+03 
       7.169975834612e-02       8.882507979590e+03 
       7.486853755750e-02       8.504263610816e+03 
       7.802189721154e-02       8.098513395548e+03 
       8.118125546523e-02       7.668102393919e+03 
       8.436335601443e-02       7.220800873372e+03 
       8.758183571814e-02       6.767748582665e+03 
       9.084820148987e-02       6.321935169931e+03 
       9.417246524382e-02       5.896690520861e+03 
       9.756357115125e-02       5.504126785722e+03 
       1.010296915047e-01       5.153880798158e+03 
       1.045784364873e-01       4.852093092033e+03 
       1.082170057681e-01       4.600769235617e+03 
       1.119522997119e-01       4.397590329839e+03 
       1.157910018733e-01       4.235852586528e+03 
       1.197396406518e-01       4.104920412244e+03 
       1.238046355627e-01       3.991120205724e+03 
       1.279923320179e-01       3.879137115714e+03 
       1.323090274757e-01       3.754425486408e+03 
       1.367609911353e-01       3.605872497360e+03 
       1.413544788970e-01       3.428417613450e+03 
       1.460957450055e-01       3.224568583169e+03 
       1.509910515930e-01       3.004128269498e+03 
       1.560466772115e-01       2.781989999403e+03 
       1.612689253600e-01       2.574387409458e+03 
       1.666641339599e-01       2.394844662054e+03 
       1.722386867019e-01       2.250818591806e+03 
       1.779990271650e-01       2.141787352247e+03 
       1.839516765962e-01       2.059419241622e+03 
       1.901032562290e-01       1.990451085473e+03 
       1.964605150159e-01       1.917867557043e+03 
       2.030303636515e-01       1.828800589090e+03 
       2.098199157769e-01       1.719652221249e+03 
       2.168365372891e-01       1.597001826497e+03 
       2.240879047385e-01       1.474243273236e+03 
       2.315820738941e-01       1.365222150652e+03 
       2.393275597113e-01       1.278182466742e+03 
       2.473334291509e-01       1.212531805252e+03 
       2.556094086166e-01       1.159485606580e+03 
       2.641660081971e-01       1.106561899864e+03 
       2.730146654810e-01       1.044554867035e+03 
       2.821679124751e-01       9.730986879956e+02 
       2.916395701736e-01       9.002790397004e+02 
       3.014449766709e-01       8.360451949449e+02 
       3.116012564853e-01       7.847717837543e+02 
       3.221276411317e-01       7.427334041919e+02 
       3.330458541616e-01       7.019378963910e+02 
       3.443805781970e-01       6.570579565556e+02 
       3.561600273992e-01       6.096779961710e+02 
       3.684166570344e-01       5.657004650206e+02 
       3.811880533895e-01       5.285737957252e+02 
       3.945180639040e-01       4.958915339920e+02 
       4.084582515891e-01       4.631363437445e+02 
       4.230697937439e-01       4.293726880952e+02 
       4.384259994145e-01       3.973805818466e+02 
       4.546157043455e-01       3.689565528627e+02 
       4.717479359469e-01       3.424617873661e+02 
       4.899584588925e-01       3.158927859541e+02 
       5.094191784047e-01       2.902947953635e+02 
       5.303520151628e-01       2.667889848977e+02 
       5.530500157411e-01       2.439813958941e+02 
       5.779106306473e-01       2.216944089737e+02 
       6.054903858632e-01       2.005064942733e+02 
       6.365991657852e-01       1.796957103441e+02 
       6.724723793801e-01       1.593280827142e+02 
       7.151071884891e-01       1.390597074694e+02 
       7.679714388706e-01       1.186336315114e+02 
       8.376193174060e-01       9.759849213187e+01 
       9.375109699637e-01       7.555509331898e+01 
       1.095196755980e+00       5.282527067335e+01 
       1.346684558765e+00       3.256697518240e+01 
       1.692343201579e+00       1.890109685776e+01 
       2.130474357747e+00       1.082482754459e+01 
       2.682108078138e+00       6.148091692882e+00 
       3.376574016620e+00       3.465825741197e+00 
       4.250854834327e+00       1.940546828205e+00 
       5.351509172783e+00       1.079813491204e+00 
       6.737150889066e+00       5.974730774855e-01 
       8.481570457336e+00       3.288771009886e-01 
       1.067766458066e+01       1.801660810790e-01 
       1.344238327921e+01       9.826436652047e-02 
       1.692295790528e+01       5.337386732770e-02 
       2.130474174968e+01       2.887893847623e-02 
       2.682108078038e+01       1.556796285437e-02 
       3.376574016620e+01       8.362145053885e-03 
       4.250854834327e+01       4.475579576921e-03 
       5.351509172783e+01       2.386425281514e-03 
       6.737150889066e+01       1.267189907529e-03 
       8.481570457336e+01       6.696041595029e-04 
       1.067766458066e+02       3.516863043701e-04 
