# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       1.066659883294e-05      -1.318116576339e-03      -9.891026044495e-04      -9.891026293982e-04      -9.891427349030e-04      -1.318098822140e-03      -9.891321291235e-04      -9.891579333440e-04       4.775381918342e-01       4.774520898424e-01 
       1.342845232821e-05      -2.088436207022e-03      -1.567621027348e-03      -1.567621090013e-03      -1.567684601576e-03      -2.088391621710e-03      -1.567657305109e-03      -1.567708584220e-03       4.775378156524e-01       4.774517504514e-01 
       1.690541987705e-05      -3.308346233974e-03      -2.484509007303e-03      -2.484509164699e-03      -2.484609694682e-03      -3.308234282378e-03      -2.484540090483e-03      -2.484647440283e-03       4.775371264879e-01       4.774511196173e-01 
       2.128266268027e-05      -5.239353890443e-03      -3.937674480973e-03      -3.937674876275e-03      -3.937833881195e-03      -5.239072853576e-03      -3.937657401592e-03      -3.937893040594e-03       4.775360733675e-01       4.774501588491e-01 
       2.679328487883e-05      -8.293724179571e-03      -6.240776267826e-03      -6.240777260580e-03      -6.241028452188e-03      -8.293018921386e-03      -6.240582569714e-03      -6.241120548350e-03       4.775344197642e-01       4.774486514738e-01 
       3.373074719940e-05      -1.311935299078e-02      -9.890920286312e-03      -9.890922779156e-03      -9.891318845686e-03      -1.311758416945e-02      -9.890194807652e-03      -9.891460632214e-03       4.775317849145e-01       4.774462479746e-01 
       4.246449480813e-05      -2.072933277810e-02      -1.567594249272e-02      -1.567594875119e-02      -1.567657133862e-02      -2.072490039265e-02      -1.567374175436e-02      -1.567678558934e-02       4.775275989312e-01       4.774424276902e-01 
       5.345963161295e-05      -3.269500297496e-02      -2.484441938375e-02      -2.484443509109e-02      -2.484540893099e-02      -3.268391201209e-02      -2.483829266925e-02      -2.484572230407e-02       4.775209777644e-01       4.774363836275e-01 
       6.730168874270e-05      -5.142155891902e-02      -3.937506026906e-02      -3.937509967189e-02      -3.937661073922e-02      -5.139386847785e-02      -3.935872590854e-02      -3.937704199575e-02       4.775104968005e-01       4.774268111594e-01 
       8.472780621485e-05      -8.051072741416e-02      -6.240353117126e-02      -6.240362993812e-02      -6.240594361885e-02      -8.044184035096e-02      -6.236102027150e-02      -6.240646434044e-02       4.774939216302e-01       4.774116604690e-01 
       1.066659883294e-04      -1.251575833694e-01      -9.889858374101e-02      -9.889883100866e-02      -9.890229437346e-02      -1.249871760324e-01      -9.878951973832e-02      -9.890271677115e-02       4.774677449263e-01       4.773877032382e-01 
       1.342845232821e-04      -1.923641698500e-01      -1.567327965358e-01      -1.567334143806e-01      -1.567383936422e-01      -1.919464130770e-01      -1.564554845252e-01      -1.567380744992e-01       4.774264827108e-01       4.773498644686e-01 
       1.690541987705e-04      -2.903554892680e-01      -2.483774769731e-01      -2.483790160622e-01      -2.483856332235e-01      -2.893459676597e-01      -2.476766143321e-01      -2.483827349450e-01       4.773616417976e-01       4.772902195590e-01 
       2.128266268027e-04      -4.257800215555e-01      -3.935836892635e-01      -3.935875047891e-01      -3.935948152224e-01      -4.233959999538e-01      -3.918204914530e-01      -3.935845585553e-01       4.772602292677e-01       4.771964910428e-01 
       2.679328487883e-04      -5.961175672687e-01      -6.236186680605e-01      -6.236280560377e-01      -6.236317567152e-01      -5.906924579380e-01      -6.192015161414e-01      -6.236025648640e-01       4.771027478725e-01       4.770499023791e-01 
       3.373074719940e-04      -7.746904432384e-01      -9.879494128522e-01      -9.879722413611e-01      -9.879586677401e-01      -7.630682147375e-01      -9.769358275219e-01      -9.878845157554e-01       4.768607329338e-01       4.768222833929e-01 
       4.246449480813e-04      -8.929476579359e-01      -1.564763147231e+00      -1.564817660878e+00      -1.564748736391e+00      -8.704212883493e-01      -1.537473010184e+00      -1.564576592304e+00       4.764941210711e-01       4.764725433221e-01 
       5.345963161295e-04      -8.519581778752e-01      -2.477475342546e+00      -2.477601985253e+00      -2.477378984196e+00      -8.151965744556e-01      -2.410458056801e+00      -2.477015294167e+00       4.759486895990e-01       4.759429650326e-01 
       6.730168874270e-04      -6.313423172488e-01      -3.920525707432e+00      -3.920808193599e+00      -3.920188460032e+00      -5.877355394024e-01      -3.758127765635e+00      -3.919499659207e+00       4.751523999752e-01       4.751557916538e-01 
       8.472780621485e-04      -4.503202949939e-01      -6.199471552776e+00      -6.200066380818e+00      -6.198483206118e+00      -4.257729111035e-01      -5.813651183908e+00      -6.197316982199e+00       4.740060600523e-01       4.740087850207e-01 
       1.066659883294e-03      -4.866200172879e-01      -9.792854517083e+00      -9.794015028338e+00      -9.790218873826e+00      -4.949071943237e-01      -8.902063771020e+00      -9.788368848500e+00       4.723656335869e-01       4.723646550194e-01 
       1.342845232821e-03      -3.376104150142e-01      -1.544667770430e+01      -1.544874683001e+01      -1.544016297030e+01      -3.359949172518e-01      -1.346875999709e+01      -1.543722810258e+01       4.700344284526e-01       4.700341282825e-01 
       1.690541987705e-03      -3.006723621556e-01      -2.431683279317e+01      -2.432022819170e+01      -2.430192065776e+01      -2.806143250927e-01      -2.013111778439e+01      -2.429735423940e+01       4.667812512739e-01       4.667801033713e-01 
       2.128266268027e-03      -1.403255078328e-01      -3.818210720699e+01      -3.818753442945e+01      -3.815051686805e+01      -1.416334040988e-01      -2.974948633935e+01      -3.814342742180e+01       4.623493287859e-01       4.623485147159e-01 
       2.679328487883e-03      -1.314442253695e-01      -5.975441893608e+01      -5.976369360709e+01      -5.969166596991e+01      -1.108380076252e-01      -4.340065661844e+01      -5.968074169054e+01       4.564380872753e-01       4.564370453175e-01 
       3.373074719940e-03      -6.456635405049e-02      -9.312252828620e+01      -9.313944685177e+01      -9.300265863531e+01      -8.457354174410e-02      -6.216829032267e+01      -9.298586476405e+01       4.487066245995e-01       4.487058000377e-01 
       4.246449480813e-03       1.259860282964e-02      -1.443605032626e+02      -1.443918521918e+02      -1.441370667267e+02      -2.930567771578e-01      -8.687031416511e+01      -1.441113953619e+02       4.387752727313e-01       4.387751480577e-01 
       5.345963161295e-03       1.585146948459e-01      -2.223167575607e+02      -2.223784421516e+02      -2.219149700840e+02       1.626548125885e-01      -1.181374918955e+02      -2.218759540214e+02       4.262385274725e-01       4.262384819033e-01 
       6.730168874270e-03       1.529464019115e-01      -3.395687848298e+02      -3.396951804375e+02      -3.388676607467e+02       1.569358205404e-01      -1.544410366720e+02      -3.388087209980e+02       4.106728584626e-01       4.106728473102e-01 
       8.472780621485e-03       1.460690017362e-01      -5.133594221900e+02      -5.136292903721e+02      -5.121935159072e+02       1.498740962240e-01      -1.944147148387e+02      -5.121052228470e+02       3.916515141726e-01       3.916515094061e-01 
