# Matter power spectrum P(k) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053673596371e-05       5.060808105865e+01 
       1.326496466208e-05       6.316248465081e+01 
       1.669960109965e-05       7.883121349293e+01 
       2.102355219117e-05       9.838674596675e+01 
       2.646708409965e-05       1.227931260729e+02 
       3.332008474914e-05       1.532533506945e+02 
       4.194750141383e-05       1.912685543023e+02 
       5.280877549114e-05       2.387115509474e+02 
       6.648230943153e-05       2.979184174557e+02 
       8.369626877812e-05       3.718021526383e+02 
       1.053673596371e-04       4.639932081605e+02 
       1.326496466208e-04       5.790124886435e+02 
       1.669960109965e-04       7.224825092372e+02 
       2.102355219117e-04       9.013818050704e+02 
       2.646708409965e-04       1.124345172810e+03 
       3.332008474914e-04       1.402006613066e+03 
       4.194750141383e-04       1.747370780748e+03 
       5.280877549114e-04       2.176181281044e+03 
       6.648230943153e-04       2.707229324107e+03 
       8.369626877812e-04       3.362512413122e+03 
       1.053673596371e-03       4.167096440251e+03 
       1.326496466208e-03       5.148454460450e+03 
       1.669960109965e-03       6.334887703479e+03 
       2.102355219117e-03       7.753437751700e+03 
       2.646708409965e-03       9.425404176624e+03 
       3.332008474914e-03       1.135984080357e+04 
       4.194750141383e-03       1.354451898593e+04 
       5.280877549114e-03       1.593443001160e+04 
       6.648230943153e-03       1.843710022862e+04 
       8.369626877812e-03       2.089791381736e+04 
       1.053673596371e-02       2.308854695649e+04 
       1.326496466208e-02       2.468819639644e+04 
       1.669960109962e-02       2.530915807754e+04 
       2.102355202030e-02       2.456742075395e+04 
       2.646695467386e-02       2.228406076253e+04 
       3.330224374738e-02       1.880394486257e+04 
       4.135596320779e-02       1.531735946925e+04 
       4.814365073042e-02       1.331302244794e+04 
       5.306670472349e-02       1.232122672712e+04 
       5.712683115337e-02       1.169862550633e+04 
       6.075211323596e-02       1.122636169474e+04 
       6.413338979608e-02       1.081288999073e+04 
       6.737167045857e-02       1.041218519687e+04 
       7.052752172046e-02       9.999676711643e+03 
       7.364072767811e-02       9.563656899876e+03 
       7.673932683540e-02       9.101189672129e+03 
       7.984423803672e-02       8.615994947807e+03 
       8.297183101645e-02       8.116763578130e+03 
       8.613544956543e-02       7.615406018688e+03 
       8.934636171780e-02       7.125585534815e+03 
       9.261437787379e-02       6.661003263094e+03 
       9.594826703267e-02       6.233872152849e+03 
       9.935604519347e-02       5.853506032990e+03 
       1.028451799312e-01       5.525463573261e+03 
       1.064227382963e-01       5.250952663993e+03 
       1.100954953450e-01       5.026463371665e+03 
