# Matter power spectrum P(k) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053673596371e-05       5.060808105865e+01 
       1.326496466208e-05       6.316248465081e+01 
       1.669960109965e-05       7.883121349293e+01 
       2.102355219117e-05       9.838674596675e+01 
       2.646708409965e-05       1.227931260729e+02 
       3.332008474914e-05       1.532533506945e+02 
       4.194750141383e-05       1.912685543023e+02 
       5.280877549114e-05       2.387115509474e+02 
       6.648230943153e-05       2.979184174557e+02 
       8.369626877812e-05       3.718021526383e+02 
       1.053673596371e-04       4.639932081605e+02 
       1.326496466208e-04       5.790124886435e+02 
       1.669960109965e-04       7.223971188554e+02 
       2.102355219117e-04       9.012477594579e+02 
       2.646708409965e-04       1.124134794772e+03 
       3.332008474914e-04       1.401676545847e+03 
       4.194750141383e-04       1.746853193829e+03 
       5.280877549114e-04       2.175370259167e+03 
       6.648230943153e-04       2.705959938906e+03 
       8.369626877812e-04       3.360528823952e+03 
       1.053673596371e-03       4.164003835031e+03 
       1.326496466208e-03       5.143647761589e+03 
       1.669960109965e-03       6.327448059804e+03 
       2.102355219117e-03       7.741985329799e+03 
       2.646708409965e-03       9.407897159585e+03 
       3.332008474914e-03       1.133331495447e+04 
       4.194750141383e-03       1.350477686881e+04 
       5.280877549114e-03       1.587572084936e+04 
       6.648230943153e-03       1.835189831797e+04 
       8.369626877812e-03       2.077700720290e+04 
       1.053673596371e-02       2.292180303522e+04 
       1.326496466208e-02       2.446669839272e+04 
       1.669960109962e-02       2.502924744272e+04 
       2.102355202030e-02       2.423670748430e+04 
       2.646695467386e-02       2.192665880926e+04 
       3.330224374738e-02       1.845795526953e+04 
       4.135596320779e-02       1.501509687732e+04 
       4.814365073042e-02       1.305079652785e+04 
       5.306670472349e-02       1.208545362168e+04 
       5.712683115337e-02       1.148364007901e+04 
       6.075211323596e-02       1.103032095781e+04 
       6.413338979608e-02       1.063580158650e+04 
       6.737167045857e-02       1.025503167945e+04 
       7.052752172046e-02       9.863921691495e+03 
       7.364072767811e-02       9.450913232311e+03 
       7.673932683540e-02       9.012991617740e+03 
       7.984423803672e-02       8.553637531793e+03 
       8.297183101645e-02       8.081194472090e+03 
       8.613544956543e-02       7.607159581812e+03 
       8.934636171780e-02       7.144738285010e+03 
       9.261437787379e-02       6.707154815892e+03 
       9.594826703267e-02       6.306155154336e+03 
       9.935604519347e-02       5.950641476609e+03 
       1.028451799312e-01       5.645865799053e+03 
       1.064227382963e-01       5.392889967133e+03 
       1.100954953450e-01       5.188265545344e+03 
