# Matter power spectrum P(k) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053673596371e-05       5.060423363986e+01 
       1.326496466208e-05       6.315768672295e+01 
       1.669960109965e-05       7.882523310189e+01 
       2.102355219117e-05       9.837929737812e+01 
       2.646708409965e-05       1.227838601033e+02 
       3.332008474914e-05       1.532418462377e+02 
       4.194750141383e-05       1.912543148481e+02 
       5.280877549114e-05       2.386940142592e+02 
       6.648230943153e-05       2.978969953011e+02 
       8.369626877812e-05       3.717763348893e+02 
       1.053673596371e-04       4.639627998807e+02 
       1.326496466208e-04       5.789781159705e+02 
       1.669960109965e-04       7.223606690205e+02 
       2.102355219117e-04       9.012159256904e+02 
       2.646708409965e-04       1.124121873751e+03 
       3.332008474914e-04       1.401712694328e+03 
       4.194750141383e-04       1.746999220885e+03 
       5.280877549114e-04       2.175744351833e+03 
       6.648230943153e-04       2.706783087842e+03 
       8.369626877812e-04       3.362194596091e+03 
       1.053673596371e-03       4.167167930029e+03 
       1.326496466208e-03       5.149307974284e+03 
       1.669960109965e-03       6.336966437766e+03 
       2.102355219117e-03       7.757075302178e+03 
       2.646708409965e-03       9.430755213991e+03 
       3.332008474914e-03       1.136688502307e+04 
       4.194750141383e-03       1.355282397382e+04 
       5.280877549114e-03       1.594228787493e+04 
       6.648230943153e-03       1.844148600180e+04 
       8.369626877812e-03       2.089253458151e+04 
       1.053673596371e-02       2.306217487212e+04 
       1.326496466208e-02       2.463162877161e+04 
       1.669960109962e-02       2.521011879396e+04 
       2.102355202030e-02       2.442087263092e+04 
       2.646695467386e-02       2.209870175306e+04 
       3.330224374738e-02       1.860494992641e+04 
       4.135596320779e-02       1.513452225432e+04 
       4.814365073042e-02       1.315345142295e+04 
       5.306670472349e-02       1.217930688693e+04 
       5.712683115337e-02       1.157165010654e+04 
       6.075211323596e-02       1.111372223069e+04 
       6.413338979608e-02       1.071512627346e+04 
       6.737167045857e-02       1.033047360931e+04 
       7.052752172046e-02       9.935508438585e+03 
       7.364072767811e-02       9.518603457304e+03 
       7.673932683540e-02       9.076734401242e+03 
       7.984423803672e-02       8.613412736731e+03 
       8.297183101645e-02       8.137038909384e+03 
       8.613544956543e-02       7.659179608203e+03 
       8.934636171780e-02       7.193112782479e+03 
       9.261437787379e-02       6.752129384023e+03 
       9.594826703267e-02       6.348028932534e+03 
       9.935604519347e-02       5.989746442183e+03 
       1.028451799312e-01       5.682543817003e+03 
       1.064227382963e-01       5.427468091372e+03 
       1.100954953450e-01       5.221031117877e+03 
       1.138700146629e-01       5.055477672325e+03 
       1.177527085547e-01       4.919199318075e+03 
       1.217498832190e-01       4.797809983700e+03 
       1.258677727047e-01       4.675769905832e+03 
       1.301125644413e-01       4.538765445758e+03 
       1.344904184695e-01       4.376503070828e+03 
       1.390074820529e-01       4.185305655943e+03 
       1.436699010599e-01       3.969285931430e+03 
       1.484838293072e-01       3.739705370632e+03 
       1.534554369336e-01       3.512231291733e+03 
       1.585909187897e-01       3.302914095814e+03 
       1.638965037813e-01       3.124222768391e+03 
       1.693784660713e-01       2.981861447570e+03 
       1.750431390264e-01       2.873531462668e+03 
